"","Tip.Label.160511","D.O._Lee_Peak","Horstmann_Peak","Hyndman_Peak","Salzburger_Spitzl","Snowyside_Peak","Thompson_Peak"
"1","Abies_lasiocarpa_14029",0,0,0,0,0,1
"2","Achillea_millefolium_var_alpicola_14665",1,0,0,0,0,0
"3","Antennaria_alpina_14019",0,0,0,0,0,1
"4","Antennaria_alpina_14360",0,0,0,0,1,0
"5","Antennaria_alpina_14591",0,0,1,0,0,0
"6","Antennaria_alpina_14661",1,0,0,0,0,0
"7","Antennaria_corymbosa_14418",0,0,0,1,0,0
"8","Antennaria_lanata_14016",0,0,0,0,0,1
"9","Arabis_cf_lemonii_14668",1,0,0,0,0,0
"10","Arabis_microphylla_14011",0,0,0,0,0,1
"11","Arnica_chamissonis_14416",0,0,0,1,0,0
"12","Arnica_chamissonis_14582",0,0,1,0,0,0
"13","Arnica_latifolia_14361",0,0,0,0,1,0
"14","Aster_foliaceus_var_apricus_14583",0,0,1,0,0,0
"15","Aster_foliaceus_var_apricus_14648",1,0,0,0,0,0
"16","Aster_occidentalis_var_occidentalis_14420",0,0,0,1,0,0
"17","Bistorta_bistortoides_14417",0,0,0,1,0,0
"18","Bistorta_bistortoides_14584",0,0,1,0,0,0
"19","Bupleurum_americanum_13560",0,0,0,0,0,1
"20","Bupleurum_americanum_14364",0,0,0,0,1,0
"21","Carex_sp_14018",0,0,0,0,0,1
"22","Carex_sp_14026",0,0,0,0,0,1
"23","Cassiope_mertensiana_var_gracilis_14022",0,0,0,0,0,1
"24","Cassiope_mertensiana_var_gracilis_14646",1,0,0,0,0,0
"25","Castilleja_applegatei_14644",1,0,0,0,0,0
"26","Castilleja_cusickii_14331",0,0,0,0,1,0
"27","Castilleja_cusickii_14368",0,0,0,1,0,0
"28","Castilleja_miniata_14332",0,0,0,0,1,0
"29","Castilleja_miniata_14369",0,0,0,1,0,0
"30","Castilleja_miniata_14586",0,0,1,0,0,0
"31","Castilleja_rhexiifolia_14406",0,0,0,1,0,0
"32","Cerastium_arvense_14575",0,0,1,0,0,0
"33","Chionophila_tweedyi_14013",0,0,0,0,0,1
"34","Claytonia_megarhiza_var_bellidifolia_14034",0,0,0,0,0,1
"35","Dasiphora_fruticosa_14415",0,0,0,1,0,0
"36","Draba_cf_oreibata_14404",0,0,0,0,1,0
"37","Epilobium_alpinum_14409",0,0,0,1,0,0
"38","Eremogone_aculeata_14663",1,0,0,0,0,0
"39","Eremogone_congesta_14589",0,0,1,0,0,0
"40","Eremogone_congesta_14670",1,0,0,0,0,0
"41","Erigeron_evermannii_14363",0,0,0,0,1,0
"42","Erigeron_grandiflorus_14012",0,0,0,0,0,1
"43","Eriogonum_flavum_var_piperi_14650",1,0,0,0,0,0
"44","Eriogonum_flavum_var_piperi_14654",1,0,0,0,0,0
"45","Eriogonum_ovalifolium_14366",0,0,0,0,1,0
"46","Eriogonum_ovalifolium_var_depressum_14649",1,0,0,0,0,0
"47","Erysimum_asperum_14235",0,1,0,0,0,0
"48","Erythranthe_tilingii_14413",0,0,0,1,0,0
"49","Erythranthe_tilingii_14574",0,0,1,0,0,0
"50","Gentiana_calycosa_14414",0,0,0,1,0,0
"51","Gentiana_calycosa_14577",0,0,1,0,0,0
"52","Gentiana_calycosa_var_obtusiloba_14032",0,0,0,0,0,1
"53","Haplopappus_suffruticosus_14657",1,0,0,0,0,0
"54","Hieracium_triste_14017",0,0,0,0,0,1
"55","Hulsea_algida_14365",0,0,0,0,1,0
"56","Ivesia_gordonii_13559",0,0,0,0,0,1
"57","Ivesia_gordonii_14024",0,0,0,0,0,1
"58","Ivesia_gordonii_14664",1,0,0,0,0,0
"59","Juncus_sp_14590",0,0,1,0,0,0
"60","Juncus_sp_14658",1,0,0,0,0,0
"61","Juniperus_communis_14031",0,0,0,0,0,1
"62","Lewisia_pygmaea_var_pygmara_14010",0,0,0,0,0,1
"63","Lewisia_pygmaea_var_pygmara_14592",0,0,1,0,0,0
"64","Lomatium_sp_14236",0,1,0,0,0,0
"65","Lupinus_argenteus_var_depressus_14408",0,0,0,1,0,0
"66","Lupinus_argenteus_var_depressus_14647",1,0,0,0,0,0
"67","Luzula_sp_14025",0,0,0,0,0,1
"68","Packera_subnuda_14580",0,0,1,0,0,0
"69","Parnassia_fimbriata_14370",0,0,0,1,0,0
"70","Pedicularis_groenlandica_14410",0,0,0,1,0,0
"71","Pedicularis_groenlandica_14596",0,0,1,0,0,0
"72","Phlox_pulvinata_14020",0,0,0,0,0,1
"73","Phlox_pulvinata_14669",1,0,0,0,0,0
"74","Phyllodoce_empetriformis_14021",0,0,0,0,0,1
"75","Phyllodoce_empetriformis_14359",0,0,0,0,1,0
"76","Phyllodoce_empetriformis_14412",0,0,0,1,0,0
"77","Phyllodoce_empetriformis_14422",0,0,0,1,0,0
"78","Phyllodoce_empetriformis_14597",0,0,1,0,0,0
"79","Phyllodoce_glanduliflora_14023",0,0,0,0,0,1
"80","Phyllodoce_glanduliflora_14581",0,0,1,0,0,0
"81","Pinus_albicaulis_14030",0,0,0,0,0,1
"82","Polygonum_viviparum_14573",0,0,1,0,0,0
"83","Potentilla_brevifolia_14015",0,0,0,0,0,1
"84","Potentilla_glandulosa_14405",0,0,0,0,1,0
"85","Potentilla_glaucophylla_var_glaucophylla_14572",0,0,1,0,0,0
"86","Potentilla_glaucophylla_var_glaucophylla_14593",0,0,1,0,0,0
"87","Potentilla_glaucophylla_var_glaucophylla_14651",1,0,0,0,0,0
"88","Ranunculus_eschscholtzii_var_eschscholtzii_14027",0,0,0,0,0,1
"89","Salix_arctica_14421",0,0,0,1,0,0
"90","Salix_arctica_14578",0,0,1,0,0,0
"91","Salix_nivalis_14660",1,0,0,0,0,0
"92","Saxifraga_mertensiana_14424",0,0,0,1,0,0
"93","Saxifraga_mertensiana_14570",0,0,1,0,0,0
"94","Sedum_debile_14656",1,0,0,0,0,0
"95","Sedum_lanceolatum_var_lanceolatum_14655",1,0,0,0,0,0
"96","Senecio_werneriifolius_14671",1,0,0,0,0,0
"97","Senecio_werneriifolius_14672",1,0,0,0,0,0
"98","Sibbaldia_procumbens_14425",0,0,0,1,0,0
"99","Silene_acaulis_13555",0,0,0,0,0,1
"100","Solidago_multiradiata_14419",0,0,0,1,0,0
"101","Solidago_multiradiata_14595",0,0,1,0,0,0
"102","Solidago_multiradiata_14653",1,0,0,0,0,0
"103","Stenotus_acaulis_14666",1,0,0,0,0,0
"104","Synthyris_pinnatifida_var_cenescens_14028",0,0,0,0,0,1
"105","Tonestus_lyallii_14362",0,0,0,0,1,0
"106","Unknown_14367",0,0,0,0,1,0
"107","Unknown_14407",0,0,0,1,0,0
"108","Unknown_14411",0,0,0,1,0,0
"109","Unknown_14423",0,0,0,1,0,0
"110","Unknown_14579",0,0,1,0,0,0
"111","Unknown_14585",0,0,1,0,0,0
"112","Unknown_14594",0,0,1,0,0,0
"113","Unknown_14652",1,0,0,0,0,0
"114","Unknown_14662",1,0,0,0,0,0
"115","Unknown_14667",1,0,0,0,0,0
"116","Veronica_wormskjoldii_14587",0,0,1,0,0,0
"117","Viola_cf_adunca_14576",0,0,1,0,0,0
