"","ntaxa","obs","rand.mean","rand.sd","obs.rank","obs.z","obs.p","runs","summits","metric","clade","sig","pool","data","model"
"D.O. Lee Peak111",6,86.2835132666667,84.39903990382,11.0491512294551,5146.5,0.170553676360497,0.514598540145985,10000,"D.O. Lee Peak","mpd","Asterales",0,"Talus","total","RD"
"Horstmann Peak111",7,93.988598,84.3736298197429,9.94226668145721,8637.5,0.967080092328394,0.863663633636636,10000,"Horstmann Peak","mpd","Asterales",0,"Talus","total","RD"
"Hyndman Peak111",12,80.6159026212121,84.4047346540303,6.17178633848859,2524.5,-0.613895527975459,0.252424757524248,10000,"Hyndman Peak","mpd","Asterales",0,"Talus","total","RD"
"Mount Cramer111",10,84.8392454444445,84.3776008437733,7.25503850886796,4252,0.063630895977581,0.425157484251575,10000,"Mount Cramer","mpd","Asterales",0,"Talus","total","RD"
"Salzburger Spitzl111",10,95.6230562222222,84.4795104779089,7.26395942258585,9948.5,1.53408700352382,0.994750524947505,10000,"Salzburger Spitzl","mpd","Asterales",1,"Talus","total","RD"
"Snowyside Peak111",11,84.4583423272727,84.4825137885891,6.64814886917002,4472,-0.00363581829950421,0.447155284471553,10000,"Snowyside Peak","mpd","Asterales",0,"Talus","total","RD"
"Thompson Peak111",4,91.7021421666667,84.6144039693667,16.423635425836,6544,0.43155720481656,0.654334566543346,10000,"Thompson Peak","mpd","Asterales",0,"Talus","total","RD"
"Braxon Peak211",5,138.8168112,133.94196971472,15.9364738206656,5064.5,0.305892102615483,0.506399360063994,10000,"Braxon Peak","mpd","Caryophyllales",0,"Talus","total","RD"
"Castle Peak211",5,139.4816498,133.66773980332,16.3231466518822,5725.5,0.356175810992276,0.572492750724928,10000,"Castle Peak","mpd","Caryophyllales",0,"Talus","total","RD"
"D.O. Lee Peak211",6,143.466174666667,133.795104209873,12.5940233994986,8197,0.767909519461301,0.81961803819618,10000,"D.O. Lee Peak","mpd","Caryophyllales",0,"Talus","total","RD"
"Horstmann Peak211",4,72.89277,133.557030520267,21.9654650393025,319,-2.76180178346878,0.0318968103189681,10000,"Horstmann Peak","mpd","Caryophyllales",1,"Talus","total","RD"
"Hyndman Peak211",6,143.466174333333,133.68735443864,12.7650270121802,8021,0.766063392217074,0.802019798020198,10000,"Hyndman Peak","mpd","Caryophyllales",0,"Talus","total","RD"
"Mount Cramer211",4,154.653208833333,133.766963832983,21.4555878903699,9301,0.973464120725608,0.93000699930007,10000,"Mount Cramer","mpd","Caryophyllales",0,"Talus","total","RD"
"Salzburger Spitzl211",7,144.091268285714,133.644366802324,10.3327821434384,9483.5,1.0110443962108,0.948255174482552,10000,"Salzburger Spitzl","mpd","Caryophyllales",0,"Talus","total","RD"
"Snowyside Peak211",4,122.675065833333,133.589475023467,21.5850179149954,2006.5,-0.505647446442512,0.200629937006299,10000,"Snowyside Peak","mpd","Caryophyllales",0,"Talus","total","RD"
"Thompson Peak211",3,125.555323333333,134.127821632467,30.8419037061275,2920,-0.277949713507152,0.291970802919708,10000,"Thompson Peak","mpd","Caryophyllales",0,"Talus","total","RD"
"Braxon Peak311",5,247.3044742,232.8259733234,25.9883792752875,5856.5,0.557114421150828,0.585591440855914,10000,"Braxon Peak","mpd","Poales",0,"Talus","total","RD"
"Castle Peak311",7,196.324762095238,232.423332766276,15.2458184879241,226,-2.36776862453341,0.0225977402259774,10000,"Castle Peak","mpd","Poales",1,"Talus","total","RD"
"D.O. Lee Peak311",4,213.980484166667,232.427770995767,36.1694259320853,2948.5,-0.510024318985271,0.294820517948205,10000,"D.O. Lee Peak","mpd","Poales",0,"Talus","total","RD"
"Horstmann Peak311",6,249.387114333333,232.841366675827,19.4612831006105,8385,0.850187912686376,0.838416158384162,10000,"Horstmann Peak","mpd","Poales",0,"Talus","total","RD"
"Hyndman Peak311",9,225.608653166667,232.37537295145,9.88217334503821,1905.5,-0.68474004133725,0.190530946905309,10000,"Hyndman Peak","mpd","Poales",0,"Talus","total","RD"
"Mount Cramer311",6,222.951193266667,232.31247667852,19.8300927543924,2493,-0.472074615474492,0.249275072492751,10000,"Mount Cramer","mpd","Poales",0,"Talus","total","RD"
"Salzburger Spitzl311",7,233.610183142857,232.591660666114,15.5138420906372,4007.5,0.0656524973499353,0.400709929007099,10000,"Salzburger Spitzl","mpd","Poales",0,"Talus","total","RD"
"Snowyside Peak311",5,183.4857868,232.76889556482,25.9336088027952,484,-1.90035675865937,0.0483951604839516,10000,"Snowyside Peak","mpd","Poales",1,"Talus","total","RD"
"Thompson Peak311",5,247.7383746,232.15788334038,26.9212381222005,6930,0.578743488278556,0.692930706929307,10000,"Thompson Peak","mpd","Poales",0,"Talus","total","RD"
"Braxon Peak411",2,27.326976,55.5536280148,29.3956950580317,2451,-0.96023080791511,0.245075492450755,10000,"Braxon Peak","mpd","Lamiales",0,"Talus","total","RD"
"Castle Peak411",3,63.5259833333333,56.0643013792,13.6184916642374,8875.5,0.547908104517031,0.887461253874612,10000,"Castle Peak","mpd","Lamiales",0,"Talus","total","RD"
"D.O. Lee Peak411",1,NA,NA,NA,NA,NA,NA,10000,"D.O. Lee Peak","mpd","Lamiales",NA,"Talus","total","RD"
"Horstmann Peak411",1,NA,NA,NA,NA,NA,NA,10000,"Horstmann Peak","mpd","Lamiales",NA,"Talus","total","RD"
"Hyndman Peak411",0,NA,NA,NA,NA,NA,NA,10000,"Hyndman Peak","mpd","Lamiales",NA,"Talus","total","RD"
"Mount Cramer411",3,54.8003,56.1556260266667,13.5634687533121,1984,-0.0999247354284432,0.198380161983802,10000,"Mount Cramer","mpd","Lamiales",0,"Talus","total","RD"
"Salzburger Spitzl411",1,NA,NA,NA,NA,NA,NA,10000,"Salzburger Spitzl","mpd","Lamiales",NA,"Talus","total","RD"
"Snowyside Peak411",0,NA,NA,NA,NA,NA,NA,10000,"Snowyside Peak","mpd","Lamiales",NA,"Talus","total","RD"
"Thompson Peak411",0,NA,NA,NA,NA,NA,NA,10000,"Thompson Peak","mpd","Lamiales",NA,"Talus","total","RD"
"Braxon Peak511",0,NA,NA,NA,NA,NA,NA,10000,"Braxon Peak","mpd","Brassicales",NA,"Talus","total","RD"
"Castle Peak511",5,27.811009,29.8400878778,4.45159611380691,2111.5,-0.455809293099769,0.211128887111289,10000,"Castle Peak","mpd","Brassicales",0,"Talus","total","RD"
"D.O. Lee Peak511",4,34.741055,29.8205168081,5.93578132861598,7901.5,0.828962173552189,0.79007099290071,10000,"D.O. Lee Peak","mpd","Brassicales",0,"Talus","total","RD"
"Horstmann Peak511",2,40.873422,29.6688892328,14.435746649751,6585,0.776165794471967,0.658434156584342,10000,"Horstmann Peak","mpd","Brassicales",0,"Talus","total","RD"
"Hyndman Peak511",5,31.111933,29.79816593232,4.44124512071489,6576.5,0.295810528797953,0.657584241575842,10000,"Hyndman Peak","mpd","Brassicales",0,"Talus","total","RD"
"Mount Cramer511",2,26.053056,29.552368097,14.5124841786457,3417.5,-0.241124266109384,0.341715828417158,10000,"Mount Cramer","mpd","Brassicales",0,"Talus","total","RD"
"Salzburger Spitzl511",3,39.1136613333333,29.8002453366,8.52952407314981,9092,1.09190336024153,0.909109089091091,10000,"Salzburger Spitzl","mpd","Brassicales",0,"Talus","total","RD"
"Snowyside Peak511",3,39.1136613333333,29.8098859818,8.55203416712866,9087.5,1.0879020323953,0.908659134086591,10000,"Snowyside Peak","mpd","Brassicales",0,"Talus","total","RD"
"Thompson Peak511",2,35.59414,29.7947092088,14.4133289595477,4029.5,0.402365810665714,0.402909709029097,10000,"Thompson Peak","mpd","Brassicales",0,"Talus","total","RD"
"Braxon Peak611",0,NA,NA,NA,NA,NA,NA,10000,"Braxon Peak","mpd","Ericales",NA,"Talus","total","RD"
"Castle Peak611",2,60.721264,129.1515440744,56.2080890303231,2521,-1.21744541141549,0.252074792520748,10000,"Castle Peak","mpd","Ericales",0,"Talus","total","RD"
"D.O. Lee Peak611",3,128.176602,129.025954195133,30.2394644799712,3117,-0.0280875408919983,0.311668833116688,10000,"D.O. Lee Peak","mpd","Ericales",0,"Talus","total","RD"
"Horstmann Peak611",2,165.644712,129.9446504812,55.9301415420644,5307,0.638297356926058,0.530646935306469,10000,"Horstmann Peak","mpd","Ericales",0,"Talus","total","RD"
"Hyndman Peak611",4,111.066327666667,128.952682300233,19.7165966255511,2827.5,-0.907172519337716,0.282721727827217,10000,"Hyndman Peak","mpd","Ericales",0,"Talus","total","RD"
"Mount Cramer611",3,40.6142573333333,129.178747139,30.3082369760492,87.5,-2.92212608327082,0.00874912508749125,10000,"Mount Cramer","mpd","Ericales",1,"Talus","total","RD"
"Salzburger Spitzl611",3,133.853624,129.6213573134,30.0341651396087,7471,0.14091507677763,0.747025297470253,10000,"Salzburger Spitzl","mpd","Ericales",0,"Talus","total","RD"
"Snowyside Peak611",3,124.993207333333,129.1291758142,30.4398753161914,2795.5,-0.135873371290279,0.27952204779522,10000,"Snowyside Peak","mpd","Ericales",0,"Talus","total","RD"
"Thompson Peak611",1,NA,NA,NA,NA,NA,NA,10000,"Thompson Peak","mpd","Ericales",NA,"Talus","total","RD"
"D.O. Lee Peak9",26,95.7233628461538,132.81262650735,26.5271308953664,766,-1.39816340513759,0.0765923407659234,10000,"D.O. Lee Peak","mntd","Tracheophyta",0,"Meadow","total","RD"
"Hyndman Peak9",29,108.657408448276,127.01534064989,24.3211604294524,2348,-0.754813169990967,0.234776522347765,10000,"Hyndman Peak","mntd","Tracheophyta",0,"Meadow","total","RD"
"Salzburger Spitzl9",23,111.926120043478,139.983596687317,29.7610140369106,1769,-0.94275943047644,0.176882311768823,10000,"Salzburger Spitzl","mntd","Tracheophyta",0,"Meadow","total","RD"
"Thompson Peak9",31,110.861704387097,123.118553052752,22.6364871852454,3039,-0.541464254826779,0.303869613038696,10000,"Thompson Peak","mntd","Tracheophyta",0,"Meadow","total","RD"
"D.O. Lee Peak13",7,45.4294185714286,51.9284642215429,17.6281363635309,3655,-0.368674573198759,0.365463453654635,10000,"D.O. Lee Peak","mntd","Asterales",0,"Meadow","total","RD"
"Hyndman Peak13",7,50.3155767142857,51.9758723095,17.6090544664137,4636,-0.0942864705416763,0.463553644635536,10000,"Hyndman Peak","mntd","Asterales",0,"Meadow","total","RD"
"Salzburger Spitzl13",4,62.4845265,70.290896666625,27.2709694963152,4874,-0.286252022234845,0.487351264873513,10000,"Salzburger Spitzl","mntd","Asterales",0,"Meadow","total","RD"
"Thompson Peak13",5,59.2631126,62.83653855586,23.4680672850898,4132.5,-0.152267586096889,0.413208679132087,10000,"Thompson Peak","mntd","Asterales",0,"Meadow","total","RD"
"D.O. Lee Peak23",4,13.137656,94.141686504975,24.7198880238652,77,-3.27687691897195,0.0076992300769923,10000,"D.O. Lee Peak","mntd","Caryophyllales",1,"Meadow","total","RD"
"Hyndman Peak23",5,65.1537152,82.15314134732,21.9533288727205,2394.5,-0.774343893168917,0.239426057394261,10000,"Hyndman Peak","mntd","Caryophyllales",0,"Meadow","total","RD"
"Salzburger Spitzl23",2,178.921875,136.527151177,49.0382270064261,5671.5,0.864523993035973,0.567093290670933,10000,"Salzburger Spitzl","mntd","Caryophyllales",0,"Meadow","total","RD"
"Thompson Peak23",4,70.557883,94.36480920645,24.5052583225277,1698,-0.97150276455418,0.16978302169783,10000,"Thompson Peak","mntd","Caryophyllales",0,"Meadow","total","RD"
"D.O. Lee Peak33",4,199.753351,137.734361964525,47.3941881385437,9445.5,1.30857793901184,0.944455554444556,10000,"D.O. Lee Peak","mntd","Poales",0,"Meadow","total","RD"
"Hyndman Peak33",3,136.590915,176.2362569001,71.3662534281755,3683,-0.555519450660246,0.368263173682632,10000,"Hyndman Peak","mntd","Poales",0,"Meadow","total","RD"
"Salzburger Spitzl33",3,76.61949,175.387359209167,71.3762902698777,828,-1.38376299518678,0.0827917208279172,10000,"Salzburger Spitzl","mntd","Poales",0,"Meadow","total","RD"
"Thompson Peak33",5,154.0251298,111.92167245532,32.2394446970887,8713,1.30596099716575,0.871212878712129,10000,"Thompson Peak","mntd","Poales",0,"Meadow","total","RD"
"D.O. Lee Peak43",0,NA,NA,NA,NA,NA,NA,10000,"D.O. Lee Peak","mntd","Lamiales",NA,"Meadow","total","RD"
"Hyndman Peak43",4,58.212993,48.478739627275,12.9727884444114,7582,0.750359370650066,0.758124187581242,10000,"Hyndman Peak","mntd","Lamiales",0,"Meadow","total","RD"
"Salzburger Spitzl43",5,28.2249064,43.59420789682,10.3413045111157,828,-1.48620529260113,0.0827917208279172,10000,"Salzburger Spitzl","mntd","Lamiales",0,"Meadow","total","RD"
"Thompson Peak43",2,74.933456,65.7301734585,21.612263351751,4353,0.425836127929395,0.435256474352565,10000,"Thompson Peak","mntd","Lamiales",0,"Meadow","total","RD"
"D.O. Lee Peak53",1,NA,NA,NA,NA,NA,NA,10000,"D.O. Lee Peak","mntd","Brassicales",NA,"Meadow","total","RD"
"Hyndman Peak53",0,NA,NA,NA,NA,NA,NA,10000,"Hyndman Peak","mntd","Brassicales",NA,"Meadow","total","RD"
"Salzburger Spitzl53",0,NA,NA,NA,NA,NA,NA,10000,"Salzburger Spitzl","mntd","Brassicales",NA,"Meadow","total","RD"
"Thompson Peak53",1,NA,NA,NA,NA,NA,NA,10000,"Thompson Peak","mntd","Brassicales",NA,"Meadow","total","RD"
"D.O. Lee Peak63",2,165.644712,103.7485286482,64.6471858648345,7482.5,0.957445904624737,0.748175182481752,10000,"D.O. Lee Peak","mntd","Ericales",0,"Meadow","total","RD"
"Hyndman Peak63",2,6.233752,102.799569307,64.9611325608982,847.5,-1.48651683707137,0.0847415258474153,10000,"Hyndman Peak","mntd","Ericales",0,"Meadow","total","RD"
"Salzburger Spitzl63",1,NA,NA,NA,NA,NA,NA,10000,"Salzburger Spitzl","mntd","Ericales",NA,"Meadow","total","RD"
"Thompson Peak63",4,58.9791815,58.9791815,0,5001,NA,0.5000499950005,10000,"Thompson Peak","mntd","Ericales",0,"Meadow","total","RD"
"D.O. Lee Peak72",26,258.780314338462,309.330141550048,39.2252666291743,1067,-1.28870576430932,0.106689331066893,10000,"D.O. Lee Peak","mpd","Tracheophyta",0,"Meadow","total","RD"
"Hyndman Peak72",29,294.866667896552,309.362278539877,35.3079063171668,3571,-0.410548575526208,0.357064293570643,10000,"Hyndman Peak","mpd","Tracheophyta",0,"Meadow","total","RD"
"Salzburger Spitzl72",23,251.246307525692,309.614500519318,42.3322672234189,835,-1.37881093600713,0.0834916508349165,10000,"Salzburger Spitzl","mpd","Tracheophyta",0,"Meadow","total","RD"
"Thompson Peak72",31,345.995618980645,309.8192173285,33.7490470459744,8446,1.07192364877337,0.844515548445156,10000,"Thompson Peak","mpd","Tracheophyta",0,"Meadow","total","RD"
"D.O. Lee Peak112",7,73.7418344761905,95.694546112019,11.5686725384753,426.5,-1.89759988130166,0.0426457354264574,10000,"D.O. Lee Peak","mpd","Asterales",1,"Meadow","total","RD"
"Hyndman Peak112",7,112.59386847619,96.1322917753333,11.4648313875248,9814.5,1.43583242914235,0.981351864813519,10000,"Hyndman Peak","mpd","Asterales",1,"Meadow","total","RD"
"Salzburger Spitzl112",4,89.0635798333333,95.5472881408333,19.4916178463396,4002,-0.33264084893382,0.4001599840016,10000,"Salzburger Spitzl","mpd","Asterales",0,"Meadow","total","RD"
"Thompson Peak112",5,87.9498256,96.0283699259,15.5957641499313,2655.5,-0.517996056380194,0.265523447655235,10000,"Thompson Peak","mpd","Asterales",0,"Meadow","total","RD"
"D.O. Lee Peak212",4,123.660468666667,137.2006765607,15.8892835484506,2071,-0.852159749855661,0.207079292070793,10000,"D.O. Lee Peak","mpd","Caryophyllales",0,"Meadow","total","RD"
"Hyndman Peak212",5,141.9416252,137.16309284232,10.9875162557894,6565.5,0.434905600723199,0.656484351564844,10000,"Hyndman Peak","mpd","Caryophyllales",0,"Meadow","total","RD"
"Salzburger Spitzl212",2,178.921875,136.2265537664,49.2322519446604,5680,0.867222593871834,0.567943205679432,10000,"Salzburger Spitzl","mpd","Caryophyllales",0,"Meadow","total","RD"
"Thompson Peak212",4,104.852944333333,137.258856414383,16.1735924980828,433,-2.00363104764086,0.0432956704329567,10000,"Thompson Peak","mpd","Caryophyllales",1,"Meadow","total","RD"
"D.O. Lee Peak312",4,270.095640333333,229.7278083566,39.6042640199861,9380,1.01927994309809,0.937906209379062,10000,"D.O. Lee Peak","mpd","Poales",0,"Meadow","total","RD"
"Hyndman Peak312",3,220.92885,229.837784588667,58.0437381120717,4225.5,-0.15348657544187,0.422507749225078,10000,"Hyndman Peak","mpd","Poales",0,"Meadow","total","RD"
"Salzburger Spitzl312",3,100.986,229.8533859866,58.7895888422456,837,-2.19201032911455,0.0836916308369163,10000,"Salzburger Spitzl","mpd","Poales",0,"Meadow","total","RD"
"Thompson Peak312",5,228.520383,229.43979115116,29.0460399051816,4071.5,-0.0316534768306229,0.407109289071093,10000,"Thompson Peak","mpd","Poales",0,"Meadow","total","RD"
"D.O. Lee Peak412",0,NA,NA,NA,NA,NA,NA,10000,"D.O. Lee Peak","mpd","Lamiales",NA,"Meadow","total","RD"
"Hyndman Peak412",4,69.2005615,65.8336604463167,8.98246615785694,5514.5,0.374830363344962,0.551394860513949,10000,"Hyndman Peak","mpd","Lamiales",0,"Meadow","total","RD"
"Salzburger Spitzl412",5,44.736169,65.79732543838,6.56045062079537,102,-3.21032161596037,0.0101989801019898,10000,"Salzburger Spitzl","mpd","Lamiales",1,"Meadow","total","RD"
"Thompson Peak412",2,74.933456,65.468605554,21.9738897107578,4334.5,0.430731680671278,0.433406659334067,10000,"Thompson Peak","mpd","Lamiales",0,"Meadow","total","RD"
"D.O. Lee Peak512",1,NA,NA,NA,NA,NA,NA,10000,"D.O. Lee Peak","mpd","Brassicales",NA,"Meadow","total","RD"
"Hyndman Peak512",0,NA,NA,NA,NA,NA,NA,10000,"Hyndman Peak","mpd","Brassicales",NA,"Meadow","total","RD"
"Salzburger Spitzl512",0,NA,NA,NA,NA,NA,NA,10000,"Salzburger Spitzl","mpd","Brassicales",NA,"Meadow","total","RD"
"Thompson Peak512",1,NA,NA,NA,NA,NA,NA,10000,"Thompson Peak","mpd","Brassicales",NA,"Meadow","total","RD"
"D.O. Lee Peak612",2,165.644712,103.0724244558,64.6492501602077,7510.5,0.967873368819271,0.750974902509749,10000,"D.O. Lee Peak","mpd","Ericales",0,"Meadow","total","RD"
"Hyndman Peak612",2,6.233752,103.061170567,64.6350238292242,819,-1.49806425109138,0.0818918108189181,10000,"Hyndman Peak","mpd","Ericales",0,"Meadow","total","RD"
"Salzburger Spitzl612",1,NA,NA,NA,NA,NA,NA,10000,"Salzburger Spitzl","mpd","Ericales",NA,"Meadow","total","RD"
"Thompson Peak612",4,103.129484666667,103.129484666667,0,5001,NA,0.5000499950005,10000,"Thompson Peak","mpd","Ericales",0,"Meadow","total","RD"
