,all.alpine.betadiv.UniFrac,all.alpine.betadiv.UniFrac_turn,all.alpine.betadiv.UniFrac_PD,all.alpine.betadiv.SES_UniFrac,all.alpine.betadiv.SES_UniFrac_turn,all.alpine.betadiv.SES_UniFrac_PD,talus.betadiv.UniFrac,talus.betadiv.UniFrac_turn,talus.betadiv.UniFrac_PD,talus.betadiv.SES_UniFrac,talus.betadiv.SES_UniFrac_turn,talus.betadiv.SES_UniFrac_PD
Braxon Peak-Castle Peak,0.608716022,0.407339036,0.201376986,0.852225354,0.417189227,0.186261339,0.608716022,0.407339036,0.201376986,1.103126195,0.670288488,0.077149752
Braxon Peak-D.O. Lee Peak,0.5575562,0.476067433,0.081488767,-0.426683134,0.503996585,-0.992133363,0.580160139,0.540441241,0.039718898,0.008231073,0.242373427,-0.393444968
Braxon Peak-Horstmann Peak,0.52106405,0.357461785,0.163602265,0.187498775,-0.675740741,1.20187792,0.52106405,0.357461785,0.163602265,0.418755779,-0.404692576,1.086458849
Braxon Peak-Hyndman Peak,0.609095475,0.437710158,0.171385317,0.490816331,1.447216626,-1.301786749,0.471283296,0.462755096,0.008528199,-0.550707386,0.876285421,-1.595033321
Braxon Peak-Mount Cramer,0.539544954,0.454805285,0.084739669,-0.069617239,0.040879599,-0.134977255,0.539544954,0.454805285,0.084739669,0.178963769,0.315774287,-0.252042022
Braxon Peak-Salzburger Spitzl,0.660892011,0.441883775,0.219008236,1.251350006,0.91885773,-0.17555063,0.6198557,0.455540743,0.164314957,1.115257314,0.4215886,0.490665553
Braxon Peak-Snowyside Peak,0.612425354,0.506443827,0.105981527,0.838823643,0.293991099,0.591091573,0.612425354,0.506443827,0.105981527,0.998917037,0.524727059,0.392694864
Braxon Peak-Thompson Peak,0.455896977,0.289153165,0.166743812,-0.81239208,-0.545785166,-0.012153293,0.513282372,0.315743845,0.197538528,-0.451293849,-0.961294326,0.863527506
Castle Peak-D.O. Lee Peak,0.588708848,0.487357941,0.101350907,2.073986783,1.179418341,1.293455931,0.658128382,0.426964921,0.231163461,2.187041552,0.878511607,0.797346155
Castle Peak-Horstmann Peak,0.437374968,0.362431734,0.074943234,-1.003824868,-0.326368605,-0.543857213,0.437374968,0.362431734,0.074943234,-0.608305187,-0.021800353,-0.558369584
Castle Peak-Hyndman Peak,0.508736095,0.488519343,0.020216752,1.209808898,1.856801347,-1.259237401,0.552030791,0.321820121,0.23021067,2.154107331,0.103493012,2.61734494
Castle Peak-Mount Cramer,0.42106561,0.254546323,0.166519287,-0.478259819,-1.112041481,0.954078494,0.42106561,0.254546323,0.166519287,-0.160747366,-0.809855567,0.92605167
Castle Peak-Salzburger Spitzl,0.408396929,0.354372414,0.054024515,-0.757376985,-0.478854218,-0.215812595,0.378782263,0.350348983,0.02843328,-0.79886388,-0.126981506,-0.813148304
Castle Peak-Snowyside Peak,0.407504677,0.304518317,0.10298636,0.145165513,0.658770736,-0.627966889,0.407504677,0.304518317,0.10298636,0.351847321,0.77602356,-0.572968613
Castle Peak-Thompson Peak,0.571522802,0.50353537,0.067987432,1.071225741,0.750552592,0.346308722,0.671019308,0.258633757,0.412385551,0.927991898,-0.199793961,0.81307107
D.O. Lee Peak-Horstmann Peak,0.602941779,0.56291179,0.040029989,0.634936988,0.998257351,-0.782858074,0.671814842,0.526903452,0.14491139,0.926397991,-0.403018379,1.99342057
D.O. Lee Peak-Hyndman Peak,0.439883222,0.318707877,0.121175345,0.483334832,0.328450059,0.048113055,0.426743736,0.354417365,0.072326372,-0.15342725,0.392298742,-0.677044812
D.O. Lee Peak-Mount Cramer,0.580729109,0.579884545,0.000844564,0.607196852,1.364193412,-1.332512963,0.64693109,0.544481127,0.102449963,1.322317271,0.750543325,0.578956435
D.O. Lee Peak-Salzburger Spitzl,0.453680957,0.224268079,0.229412878,0.862382495,-1.132042556,2.476900631,0.553995166,0.258009411,0.295985756,1.209931452,-0.991206697,2.572253061
D.O. Lee Peak-Snowyside Peak,0.63086947,0.605064984,0.025804486,1.88495792,2.2907824,-1.204733633,0.649504334,0.507397284,0.14210705,2.297998735,1.196447373,1.385947726
D.O. Lee Peak-Thompson Peak,0.531731033,0.498742869,0.032988164,1.18600585,1.434751988,-0.518471241,0.476432858,0.340982849,0.13545001,-0.476648644,0.027594179,-0.453289445
Horstmann Peak-Hyndman Peak,0.517679244,0.480056066,0.037623178,-0.187461783,1.627117121,-2.062566457,0.570687448,0.441255546,0.129431902,0.852057622,-0.012090252,1.151769748
Horstmann Peak-Mount Cramer,0.393455965,0.320336684,0.073119281,-1.707711466,-1.81412576,0.494406896,0.393455965,0.320336684,0.073119281,-1.359762296,-1.440472875,0.318526536
Horstmann Peak-Salzburger Spitzl,0.544777155,0.441279055,0.103498099,0.443822585,0.969824743,-0.821257884,0.51282511,0.475102033,0.037723077,0.352302768,0.662744864,-0.580031101
Horstmann Peak-Snowyside Peak,0.405605393,0.388155561,0.017449832,-0.996442302,-0.452565641,-0.898608977,0.405605393,0.388155561,0.017449832,-0.646158934,-0.134420068,-0.890730507
Horstmann Peak-Thompson Peak,0.476062196,0.4589164,0.017145796,-0.779962548,0.111981191,-1.085802902,0.652949894,0.335764789,0.317185105,0.574216815,-0.803180904,1.431831431
Hyndman Peak-Mount Cramer,0.529470306,0.433299394,0.096170912,0.464497637,1.328283387,-1.188940612,0.552407342,0.480037113,0.072370229,0.960184386,0.685335681,0.258716994
Hyndman Peak-Salzburger Spitzl,0.381730577,0.291143197,0.09058738,0.946101788,0.419441097,0.636355383,0.434658118,0.160242655,0.274415463,1.058445005,-1.805955154,4.910181216
Hyndman Peak-Snowyside Peak,0.587247785,0.544346797,0.042900988,1.335985664,2.886505,-2.294120572,0.593530001,0.489758789,0.103771212,2.125411534,1.514874961,0.395969137
Hyndman Peak-Thompson Peak,0.572263554,0.525115992,0.047147562,2.25431328,2.778431104,-1.311600015,0.402205256,0.112809611,0.289395645,-1.031339852,-0.085974701,-0.762205691
Mount Cramer-Salzburger Spitzl,0.537806359,0.356596227,0.181210132,0.247810372,-0.268654228,0.54572173,0.518788144,0.420074884,0.098713259,0.156235738,-0.377296591,0.905832368
Mount Cramer-Snowyside Peak,0.484530599,0.443058639,0.04147196,0.187651557,0.400867294,-0.39055282,0.484530599,0.443058639,0.04147196,0.49649323,0.738097183,-0.436161065
Mount Cramer-Thompson Peak,0.490768427,0.452568552,0.038199874,0.731617958,1.092323241,-0.688865097,0.609939254,0.33955192,0.270387334,0.084733306,-0.440679906,0.612369082
Salzburger Spitzl-Snowyside Peak,0.454979302,0.297835498,0.157143804,-0.75755491,-0.279699798,-0.309908587,0.401038738,0.330185943,0.070852796,-0.633392888,-0.436088844,-0.139749674
Salzburger Spitzl-Thompson Peak,0.646517313,0.558199305,0.088318008,2.391211396,1.786532296,0.05835331,0.633497028,0.201204789,0.432292239,1.23852047,-0.24276921,1.172102334
Snowyside Peak-Thompson Peak,0.580171363,0.578431477,0.001739886,1.348129438,2.046006386,-1.433916737,0.687683759,0.437722954,0.249960806,1.692066003,0.721909427,0.417057284